,バス,乗用車総数,地域,大型特種,小型乗用車,小型二輪,小型特殊自動車,小型貨物,年度,普通乗用車,普通車貨物,特種用途車,自動車総数,被けん引貨物,貨物自動車総数,軽自動車,電気小型特殊自動車,電気小型自動車,電気自動車総数
191,74,20634,西淀川,385,11199,898.0,368,4024,2008,9435,2881,1124.0,38285,242,7147,7655,88.0,0.0,88.0
192,56,14186,西成,100,7794,595.0,169,2447,2009,6392,1356,647.0,26826,48,3851,7222,27.0,0.0,27.0
193,166,40519,平野,113,22598,1471.0,497,5379,2009,17921,2109,1003.0,70705,105,7593,19343,153.0,0.0,153.0
194,130,26030,住吉,443,14236,980.0,67,1932,2009,11794,529,338.0,40351,20,2481,9882,10.0,1.0,11.0
195,219,25847,住之江,841,14518,933.0,300,3519,2009,11329,4504,1808.0,51180,3158,11181,10051,178.0,2.0,180.0
196,30,22012,鶴見,160,11863,961.0,283,2602,2009,10149,1760,554.0,37402,46,4408,8994,47.0,0.0,47.0
197,55,28459,城東,217,15468,1621.0,269,3298,2009,12991,967,787.0,46159,18,4283,10468,99.0,0.0,99.0
198,40,15188,旭,50,8279,798.0,75,1631,2009,6909,374,308.0,24556,6,2011,6086,19.0,0.0,19.0
199,70,21467,生野,91,11804,914.0,489,3100,2009,9663,803,551.0,38475,4,3907,10986,133.0,1.0,134.0
200,87,13496,東成,59,7250,615.0,319,2534,2009,6246,811,348.0,24132,24,3369,5839,112.0,0.0,112.0
201,115,29056,東淀川,197,16244,1687.0,140,3229,2009,12812,1104,767.0,48422,3,4336,12124,83.0,0.0,83.0
202,31,24147,東住吉,122,12950,1029.0,532,3045,2009,11197,1091,750.0,41592,35,4171,10810,290.0,4.0,294.0
203,77,20433,西淀川,387,11038,888.0,360,3942,2009,9395,2830,1088.0,37972,235,7007,7732,90.0,1.0,91.0
204,65,33910,淀川,41,19467,1560.0,227,6174,2009,14443,979,522.0,54700,19,7172,11203,86.0,9.0,95.0
205,222,23639,北,161,12711,847.0,274,6754,2009,10928,974,462.0,40684,63,7791,7288,86.0,4.0,90.0
206,23,15939,都島,69,8123,773.0,101,1996,2009,7816,574,381.0,25292,0,2570,5436,50.0,0.0,50.0
207,23,11242,福島,82,5739,492.0,1559,2869,2009,5503,923,487.0,22110,52,3844,4381,918.0,1.0,919.0
208,235,11569,此花,306,6280,614.0,243,2146,2009,5289,1905,1067.0,23560,353,4404,5122,75.0,3.0,78.0
209,17,17013,阿倍野,18,8061,712.0,68,1193,2009,8952,236,225.0,24390,2,1431,4906,7.0,0.0,7.0
210,13,19189,西,256,10225,697.0,424,6155,2009,8964,996,437.0,34591,205,7356,6219,151.0,9.0,160.0
211,311,13499,港,890,7180,680.0,293,2535,2009,6319,2200,747.0,28107,502,5237,6450,88.0,0.0,88.0
212,125,13144,大正,356,7161,551.0,197,2525,2009,5983,2449,718.0,27350,473,5447,6812,35.0,2.0,37.0
213,12,11161,天王寺,31,4776,422.0,114,1723,2009,6385,188,158.0,17438,1,1912,3628,40.0,2.0,42.0
214,14,9208,浪速,185,4740,410.0,235,2612,2009,4468,764,662.0,18660,14,3390,4556,66.0,2.0,68.0
215,35,27165,中央,222,15097,943.0,149,7230,2009,12068,551,543.0,44051,14,7795,7199,61.0,11.0,72.0
216,36,23821,東住吉,122,12637,1031.0,524,2958,2010,11184,1037,738.0,41092,42,4037,10783,285.0,4.0,289.0
217,129,25632,住吉,442,13874,982.0,67,1904,2010,11758,508,340.0,39877,17,2429,9856,10.0,1.0,11.0
218,195,25263,住之江,821,14036,926.0,299,3524,2010,11227,4659,1823.0,50786,3239,11422,10037,178.0,2.0,180.0
219,16,16883,阿倍野,18,7931,708.0,68,1125,2010,8952,240,223.0,24179,1,1366,4897,7.0,0.0,7.0
220,29,21821,鶴見,156,11541,956.0,281,2487,2010,10280,1700,548.0,36988,26,4213,8984,47.0,0.0,47.0
221,32,27915,城東,215,14900,1615.0,268,3192,2010,13015,919,732.0,45353,17,4128,10448,99.0,0.0,99.0
222,40,14852,旭,50,7964,797.0,75,1562,2010,6888,368,336.0,24159,6,1936,6073,19.0,0.0,19.0
223,70,21013,生野,92,11341,908.0,488,3070,2010,9672,799,543.0,37904,4,3873,10917,133.0,1.0,134.0
224,74,13324,東成,58,7066,615.0,319,2428,2010,6258,786,338.0,23794,23,3237,5829,112.0,0.0,112.0
225,111,28531,東淀川,199,15781,1669.0,140,3149,2010,12750,1077,710.0,47698,3,4229,12109,83.0,0.0,83.0
226,13,9190,浪速,183,4665,406.0,233,2592,2010,4525,749,633.0,18541,15,3356,4527,65.0,2.0,67.0
227,75,20369,西淀川,387,10943,886.0,356,3833,2010,9426,2826,1100.0,37784,239,6898,7713,88.0,1.0,89.0
228,12,11202,天王寺,31,4738,421.0,114,1665,2010,6464,177,147.0,17391,1,1843,3621,40.0,2.0,42.0
229,109,12946,大正,361,7057,550.0,196,2547,2010,5889,2436,735.0,27148,477,5460,6791,35.0,2.0,37.0
230,16,19112,西,256,9915,691.0,423,5907,2010,9197,963,403.0,34195,216,7086,6208,151.0,9.0,160.0
231,36,27194,中央,180,14785,946.0,149,6934,2010,12409,512,419.0,43554,13,7459,7171,61.0,11.0,72.0
232,247,11404,此花,305,6113,611.0,243,2195,2010,5291,1937,1091.0,23496,344,4476,5119,75.0,3.0,78.0
233,21,11355,福島,82,5671,486.0,1555,2708,2010,5684,887,454.0,21971,48,3643,4375,915.0,1.0,916.0
234,23,15874,都島,68,7973,775.0,101,1934,2010,7901,579,393.0,25161,0,2513,5414,50.0,0.0,50.0
235,214,23526,北,160,12359,844.0,273,6471,2010,11167,943,457.0,40195,63,7477,7244,85.0,4.0,89.0
236,70,33651,淀川,41,19050,1550.0,226,5975,2010,14601,990,520.0,54217,14,6979,11180,85.0,9.0,94.0
237,293,13371,港,876,7016,673.0,293,2488,2010,6355,2175,820.0,27889,486,5149,6414,89.0,0.0,89.0
238,56,14073,西成,98,7661,596.0,169,2393,2010,6412,1309,609.0,26534,47,3749,7184,27.0,0.0,27.0
239,154,39881,平野,114,21958,1464.0,497,5195,2010,17923,2059,984.0,69732,105,7359,19279,153.0,0.0,153.0
240,50,13516,西成,99,7240,572.0,166,2296,2011,6276,1285,,25781,48,3629,7130,28.0,0.0,28.0
241,159,39538,平野,120,21567,1427.0,502,5184,2011,17971,2064,,69406,93,7341,19280,167.0,2.0,169.0
242,37,23691,東住吉,120,12429,1035.0,491,2899,2011,11262,1018,,40812,39,3956,10714,274.0,6.0,280.0
243,131,25470,住吉,441,13610,953.0,63,1866,2011,11860,499,,39598,21,2386,9811,11.0,2.0,13.0
244,196,25318,住之江,820,13975,937.0,283,3423,2011,11343,4622,,51001,3299,11344,10275,175.0,7.0,182.0
245,17,16887,阿倍野,18,7838,696.0,65,1092,2011,9049,229,,24086,1,1322,4853,7.0,1.0,8.0
246,29,21781,鶴見,155,11408,964.0,257,2483,2011,10373,1615,,36897,22,4120,9031,48.0,1.0,49.0
247,34,27840,城東,216,14701,1573.0,246,3150,2011,13139,950,,45165,18,4118,10407,97.0,1.0,98.0
248,39,14654,旭,50,7826,733.0,74,1502,2011,6828,345,,23839,6,1853,6077,20.0,0.0,20.0
249,69,20694,生野,91,11056,874.0,479,3002,2011,9638,788,,37369,4,3794,10797,132.0,1.0,133.0
250,74,13296,東成,57,6931,617.0,308,2365,2011,6365,749,,23562,23,3137,5745,109.0,1.0,110.0
251,199,23566,北,159,12110,824.0,267,6189,2011,11456,920,,39816,64,7173,7182,86.0,15.0,101.0
252,78,33670,淀川,41,18801,1548.0,222,5837,2011,14869,1000,,53962,14,6851,11035,86.0,14.0,100.0
253,75,20236,西淀川,390,10715,893.0,357,3840,2011,9521,2808,,37665,240,6888,7712,92.0,3.0,95.0
254,10,9323,浪速,183,4644,392.0,226,2552,2011,4679,718,,18552,20,3290,4497,61.0,2.0,63.0
255,12,11208,天王寺,31,4687,413.0,109,1564,2011,6521,174,,17265,1,1739,3599,40.0,0.0,40.0
256,108,12821,大正,362,6907,525.0,197,2543,2011,5914,2432,,26817,446,5421,6680,39.0,2.0,41.0
257,307,13364,港,861,6973,660.0,295,2441,2011,6391,2202,,27703,483,5126,6262,96.0,0.0,96.0
258,15,19215,西,253,9794,692.0,408,5758,2011,9421,945,,34080,226,6929,6145,152.0,12.0,164.0
259,34,27472,中央,180,14573,940.0,145,6800,2011,12899,503,,43592,13,7316,7120,60.0,16.0,76.0
260,292,11397,此花,302,6045,633.0,245,2149,2011,5352,2010,,23761,401,4560,5191,83.0,2.0,85.0
261,24,11501,福島,82,5585,462.0,1528,2643,2011,5916,842,,21892,49,3534,4314,901.0,1.0,902.0
262,23,15789,都島,67,7841,724.0,100,1882,2011,7948,570,,24967,0,2452,5456,52.0,0.0,52.0
263,131,28171,東淀川,196,15416,1592.0,139,3056,2011,12755,1047,,47141,3,4106,12105,82.0,3.0,85.0
264,70,20547,生野,91,10831,912.0,484,3001,2012,9716,788,559.0,37416,4,3793,10960,153.0,5.0,158.0
265,38,14423,旭,52,7677,820.0,73,1473,2012,6746,366,365.0,23891,8,1847,6273,21.0,4.0,25.0
266,33,27518,城東,216,14322,1569.0,245,3062,2012,13196,953,704.0,44823,18,4033,10505,102.0,4.0,106.0
267,30,21645,鶴見,153,11177,1015.0,265,2454,2012,10468,1630,569.0,37130,22,4106,9347,53.0,6.0,59.0
268,42,13231,西成,100,7021,666.0,161,2222,2012,6210,1285,603.0,25480,44,3551,7126,29.0,1.0,30.0
269,110,25215,住吉,441,13272,1110.0,55,1809,2012,11943,508,350.0,39492,20,2337,9874,14.0,8.0,22.0
270,39,23592,東住吉,119,12179,1201.0,435,2817,2012,11413,1019,726.0,40946,37,3873,10961,258.0,9.0,267.0
271,127,39188,平野,115,21211,1607.0,503,5121,2012,17977,2019,1025.0,69562,73,7213,19784,191.0,8.0,199.0
272,67,13264,東成,56,6805,694.0,292,2309,2012,6459,750,342.0,23633,19,3078,5840,114.0,5.0,119.0
273,203,25372,住之江,839,13872,1032.0,278,3310,2012,11500,4671,1906.0,51294,3347,11328,10336,174.0,9.0,183.0
274,143,28042,東淀川,196,15273,1721.0,122,3010,2012,12769,1043,716.0,47443,2,4055,12448,73.0,4.0,77.0
275,17,16804,阿倍野,18,7692,718.0,56,1051,2012,9112,217,221.0,23988,1,1269,4885,7.0,5.0,12.0
276,79,19996,西淀川,388,10467,955.0,362,3805,2012,9529,2775,1139.0,37605,248,6828,7858,105.0,9.0,114.0
277,196,23732,北,159,11975,957.0,256,6009,2012,11757,899,450.0,39958,48,6956,7252,89.0,16.0,105.0
278,25,15838,都島,68,7763,829.0,91,1825,2012,8075,578,375.0,25017,0,2403,5388,46.0,2.0,48.0
279,25,11581,福島,82,5497,532.0,1454,2557,2012,6084,842,447.0,21917,49,3448,4348,852.0,7.0,859.0
280,284,11461,此花,305,5976,688.0,225,2125,2012,5485,1999,1218.0,24059,380,4504,5374,81.0,4.0,85.0
281,36,27852,中央,180,14493,1074.0,136,6461,2012,13359,484,370.0,43966,13,6958,7360,57.0,16.0,73.0
282,77,33567,淀川,41,18523,1701.0,208,5662,2012,15044,1003,517.0,53877,14,6679,11087,83.0,28.0,111.0
283,271,13209,港,854,6724,719.0,307,2438,2012,6485,2132,843.0,27553,515,5085,6265,110.0,7.0,117.0
284,113,12553,大正,357,6683,572.0,215,2517,2012,5870,2345,718.0,26407,433,5295,6584,45.0,5.0,50.0
285,12,11196,天王寺,31,4574,455.0,105,1511,2012,6622,175,157.0,17248,1,1687,3605,41.0,1.0,42.0
286,17,9481,浪速,183,4682,445.0,211,2484,2012,4799,701,626.0,18751,11,3196,4592,64.0,5.0,69.0
287,16,19253,西,251,9656,750.0,395,5601,2012,9597,946,441.0,34120,219,6766,6248,148.0,32.0,180.0
288,60,23488,東住吉,118,11963,1134.0,413,2773,2013,11525,1039,740.0,41040,59,3871,11216,255.0,8.0,263.0
289,123,24987,住吉,441,12926,988.0,58,1761,2013,12061,502,352.0,39354,19,2282,10123,15.0,8.0,23.0
290,197,24947,住之江,853,13428,907.0,261,3320,2013,11519,4903,1916.0,51456,3498,11721,10654,158.0,9.0,167.0
291,17,16735,阿倍野,18,7497,652.0,54,1034,2013,9238,200,217.0,23961,1,1235,5033,8.0,6.0,14.0
292,32,21549,鶴見,153,10974,975.0,260,2398,2013,10575,1641,568.0,37201,21,4060,9604,57.0,6.0,63.0
293,31,27334,城東,216,13902,1533.0,234,2976,2013,13432,937,711.0,44729,18,3931,10739,100.0,5.0,105.0
294,35,14370,旭,53,7540,742.0,69,1433,2013,6830,368,394.0,23894,9,1810,6421,21.0,4.0,25.0
295,69,20437,生野,91,10607,823.0,474,3021,2013,9830,813,574.0,37446,5,3839,11139,157.0,5.0,162.0
296,75,13207,東成,56,6680,602.0,280,2308,2013,6527,759,349.0,23564,19,3086,5909,112.0,4.0,116.0
297,116,27769,東淀川,196,14840,1505.0,120,2997,2013,12929,1058,741.0,47211,2,4057,12707,71.0,5.0,76.0
298,17,9581,浪速,183,4617,367.0,198,2437,2013,4964,675,632.0,18773,11,3123,4672,60.0,5.0,65.0
299,90,19823,西淀川,392,10196,925.0,365,3772,2013,9627,2746,1178.0,37600,253,6771,8056,110.0,7.0,117.0
300,15,11282,天王寺,31,4451,411.0,106,1468,2013,6831,178,162.0,17305,1,1647,3651,43.0,3.0,46.0
301,132,12378,大正,364,6485,507.0,222,2500,2013,5893,2365,720.0,26320,438,5303,6694,48.0,6.0,54.0
302,56,38787,平野,115,20580,1489.0,502,5122,2013,18207,2068,1087.0,69691,52,7242,20413,192.0,10.0,202.0
303,15,19433,西,251,9596,701.0,389,5448,2013,9837,979,447.0,34135,215,6642,6257,149.0,36.0,185.0
304,36,28193,中央,180,14349,974.0,130,6269,2013,13844,473,348.0,44071,14,6756,7454,55.0,16.0,71.0
305,290,11525,此花,305,5885,595.0,221,2142,2013,5640,2037,1243.0,24224,416,4595,5450,81.0,4.0,85.0
306,12,11558,福島,82,5268,504.0,1444,2459,2013,6290,805,447.0,21787,39,3303,4437,863.0,7.0,870.0
307,24,15786,都島,68,7593,726.0,85,1786,2013,8193,579,380.0,24838,2,2367,5402,44.0,2.0,46.0
308,217,24284,北,158,12001,822.0,273,5842,2013,12283,833,455.0,40474,16,6691,7574,112.0,17.0,129.0
309,85,33851,淀川,38,18552,1468.0,207,5777,2013,15299,1015,508.0,54381,12,6804,11420,88.0,26.0,114.0
310,211,13170,港,845,6516,618.0,302,2440,2013,6654,2172,861.0,27522,485,5097,6418,106.0,8.0,114.0
311,43,13028,西成,101,6849,566.0,163,2195,2013,6179,1295,612.0,25311,43,3533,7265,32.0,2.0,34.0
312,24,15678,都島,68,7432,746.0,80,1771,2014,8246,584,306.0,24922,2,2357,5663,43.0,2.0,45.0
313,46,12923,西成,100,6692,569.0,163,2162,2014,6231,1276,632.0,25456,44,3482,7541,31.0,2.0,33.0
314,56,38296,平野,113,20051,1548.0,501,5056,2014,18245,2108,1139.0,69915,54,7218,21044,201.0,11.0,212.0
315,66,23268,東住吉,118,11725,1441.0,408,2756,2014,11543,1028,810.0,41637,52,3836,11690,260.0,10.0,270.0
316,132,24651,住吉,442,12569,1000.0,57,1749,2014,12082,498,354.0,39335,21,2268,10431,17.0,9.0,26.0
317,209,24407,住之江,845,12977,927.0,326,3330,2014,11430,5153,2036.0,52295,3487,11970,11575,224.0,16.0,240.0
318,33,21290,鶴見,154,10668,1055.0,263,2353,2014,10622,1653,592.0,37653,20,4026,10240,66.0,7.0,73.0
319,32,26914,城東,216,13525,1543.0,231,2941,2014,13389,949,699.0,44770,16,3906,11229,99.0,5.0,104.0
320,36,14210,旭,53,7365,760.0,65,1409,2014,6845,374,417.0,23945,9,1792,6612,19.0,4.0,23.0
321,72,20277,生野,92,10366,852.0,469,2969,2014,9911,797,581.0,37628,5,3771,11514,155.0,5.0,160.0
322,10,13055,東成,56,6545,618.0,273,2261,2014,6510,764,341.0,23431,19,3044,6034,110.0,4.0,114.0
323,16,16845,阿倍野,18,7496,645.0,50,1102,2014,9349,197,218.0,24507,1,1300,5415,8.0,6.0,14.0
324,91,33855,淀川,38,18497,1559.0,197,5701,2014,15358,1021,514.0,54707,12,6734,11719,92.0,19.0,111.0
325,114,27256,東淀川,197,14411,1510.0,112,2912,2014,12845,1081,733.0,47065,2,3995,13148,66.0,6.0,72.0
326,12,11626,福島,82,5195,509.0,1474,2367,2014,6431,787,436.0,21893,36,3190,4564,881.0,7.0,888.0
327,303,11513,此花,300,5841,617.0,228,2115,2014,5672,2132,1274.0,24485,421,4668,5582,88.0,5.0,93.0
328,36,28716,中央,180,14532,998.0,122,6142,2014,14184,456,340.0,44798,12,6610,7796,51.0,14.0,65.0
329,18,19653,西,250,9580,719.0,383,5267,2014,10073,963,429.0,34216,183,6413,6351,151.0,36.0,187.0
330,221,24780,北,157,12084,845.0,258,5707,2014,12696,851,474.0,41111,13,6571,7805,114.0,21.0,135.0
331,141,12196,大正,375,6313,561.0,239,2475,2014,5883,2407,717.0,26378,450,5332,6817,50.0,5.0,55.0
332,15,11366,天王寺,31,4371,401.0,103,1387,2014,6995,173,169.0,17438,1,1561,3792,42.0,2.0,44.0
333,20,9622,浪速,183,4573,410.0,199,2385,2014,5049,681,674.0,18882,9,3075,4699,65.0,8.0,73.0
334,95,19635,西淀川,392,9987,940.0,363,3778,2014,9648,2802,1205.0,37885,252,6832,8423,107.0,9.0,116.0
335,196,13053,港,839,6398,623.0,304,2435,2014,6655,2215,859.0,27572,520,5170,6528,106.0,9.0,115.0
336,10,13036,東成,55,6423,658.0,269,2217,2015,6613,749,334.0,23302,20,2986,5954,110.0,3.0,113.0
337,64,38093,平野,113,19497,1657.0,498,5056,2015,18596,2121,1195.0,69758,58,7235,20903,202.0,12.0,214.0
338,71,23137,東住吉,114,11521,1085.0,410,2678,2015,11616,999,824.0,40905,50,3727,11537,272.0,9.0,281.0
339,135,24541,住吉,442,12308,1093.0,58,1735,2015,12233,493,347.0,39293,15,2243,10434,16.0,6.0,22.0
340,257,24190,住之江,843,12744,1041.0,362,3292,2015,11446,5353,2158.0,51898,3491,12136,10911,263.0,17.0,280.0
341,15,16823,阿倍野,19,7377,749.0,46,1097,2015,9446,195,215.0,24550,1,1293,5390,6.0,6.0,12.0
342,35,21156,鶴見,155,10391,1051.0,264,2338,2015,10765,1739,619.0,37361,22,4099,9982,73.0,10.0,83.0
343,33,26777,城東,216,13236,1531.0,234,2909,2015,13541,934,629.0,44278,14,3857,11001,99.0,3.0,102.0
344,38,14121,旭,53,7166,840.0,61,1388,2015,6955,365,427.0,23866,9,1762,6564,17.0,5.0,22.0
345,72,20249,生野,92,10191,928.0,456,2955,2015,10058,806,595.0,37553,5,3766,11395,158.0,3.0,161.0
346,46,12795,西成,101,6510,654.0,167,2148,2015,6285,1285,658.0,25342,45,3478,7443,31.0,3.0,34.0
347,127,26901,東淀川,196,14014,1694.0,112,2889,2015,12887,1044,766.0,46766,2,3935,13035,68.0,6.0,74.0
348,102,19636,西淀川,390,9826,980.0,371,3768,2015,9810,2881,1230.0,38080,250,6899,8472,114.0,10.0,124.0
349,21,9821,浪速,183,4639,517.0,199,2404,2015,5182,686,731.0,19188,11,3101,4615,67.0,9.0,76.0
350,15,11454,天王寺,31,4331,431.0,101,1359,2015,7123,180,167.0,17432,3,1542,3691,40.0,2.0,42.0
351,146,12132,大正,379,6211,612.0,252,2468,2015,5921,2428,741.0,26354,456,5352,6740,54.0,5.0,59.0
352,196,12946,港,835,6238,689.0,305,2480,2015,6708,2316,906.0,27721,582,5378,6466,112.0,9.0,121.0
353,17,19930,西,248,9623,794.0,380,5129,2015,10307,932,418.0,34231,173,6234,6210,155.0,35.0,190.0
354,37,29363,中央,180,14863,1070.0,119,6032,2015,14500,408,319.0,45269,12,6452,7729,53.0,12.0,65.0
355,284,11505,此花,300,5756,694.0,237,2126,2015,5749,2144,1335.0,24754,492,4762,5637,98.0,5.0,103.0
356,13,11638,福島,82,5106,546.0,1452,2292,2015,6532,749,429.0,21821,33,3074,4587,871.0,7.0,878.0
357,25,15681,都島,68,7244,807.0,78,1741,2015,8437,588,302.0,24827,2,2331,5535,43.0,2.0,45.0
358,225,25301,北,156,12205,986.0,253,5539,2015,13096,851,508.0,41615,12,6402,7784,113.0,18.0,131.0
359,88,34034,淀川,39,18392,1715.0,191,5570,2015,15642,1035,517.0,54902,10,6615,11703,91.0,18.0,109.0
360,75,20310,生野,94,10075,931.0,448,2907,2016,10235,821,605.0,37594,4,3732,11399,161.0,4.0,165.0
361,38,14133,旭,54,7013,812.0,57,1362,2016,7120,347,397.0,23760,11,1720,6549,18.0,6.0,24.0
362,30,26789,城東,217,13005,1536.0,222,2863,2016,13784,956,676.0,44327,15,3834,11023,99.0,3.0,102.0
363,31,21306,鶴見,156,10244,1055.0,262,2359,2016,11062,1790,641.0,37771,25,4174,10146,77.0,9.0,86.0
364,68,37928,平野,110,19053,1679.0,486,5067,2016,18875,2103,1233.0,69983,74,7244,21235,203.0,10.0,213.0
365,269,24500,住之江,842,12622,1046.0,368,3279,2016,11878,5498,2300.0,52794,3658,12435,11034,263.0,17.0,280.0
366,133,24442,住吉,442,12033,1098.0,56,1759,2016,12409,510,348.0,39321,17,2286,10516,16.0,6.0,22.0
367,64,23215,東住吉,114,11314,1094.0,417,2657,2016,11901,961,842.0,41019,49,3667,11606,276.0,9.0,285.0
368,12,13129,東成,55,6365,657.0,265,2226,2016,6764,730,342.0,23461,20,2976,6025,111.0,4.0,115.0
369,16,16900,阿倍野,19,7193,739.0,45,1051,2016,9707,186,223.0,24593,1,1238,5413,6.0,7.0,13.0
370,129,26809,東淀川,196,13752,1679.0,110,2829,2016,13057,1047,774.0,46598,2,3878,13023,67.0,8.0,75.0
371,207,13021,港,819,6206,691.0,304,2411,2016,6815,2296,899.0,27679,617,5324,6414,112.0,7.0,119.0
372,102,19817,西淀川,395,9729,989.0,368,3794,2016,10088,2923,1305.0,38552,201,6918,8658,115.0,16.0,131.0
373,26,10092,浪速,183,4707,515.0,197,2376,2016,5385,687,737.0,19567,11,3074,4743,67.0,10.0,77.0
374,15,11621,天王寺,31,4283,427.0,105,1338,2016,7338,176,170.0,17583,4,1518,3696,44.0,2.0,46.0
375,171,11986,大正,370,6031,622.0,255,2528,2016,5955,2504,761.0,26463,444,5476,6822,56.0,4.0,60.0
376,16,20344,西,247,9752,799.0,369,5068,2016,10592,921,426.0,34527,143,6132,6194,150.0,28.0,178.0
377,42,29768,中央,179,14984,1020.0,118,5951,2016,14784,398,330.0,45607,12,6361,7789,52.0,11.0,63.0
378,305,11613,此花,300,5693,697.0,242,2115,2016,5920,2207,1379.0,25009,499,4821,5652,107.0,5.0,112.0
379,14,11638,福島,82,5118,537.0,1460,2236,2016,6520,713,437.0,21739,35,2984,4587,880.0,4.0,884.0
380,30,15726,都島,69,7132,831.0,82,1752,2016,8594,584,296.0,25014,3,2339,5641,47.0,3.0,49.0
381,220,25769,北,156,12291,999.0,250,5378,2016,13478,842,494.0,42041,13,6233,7920,111.0,20.0,131.0
382,89,34104,淀川,39,18207,1699.0,191,5547,2016,15897,1034,482.0,55105,10,6591,11910,90.0,10.0,100.0
383,44,12859,西成,101,6339,653.0,164,2114,2016,6520,1296,658.0,25320,44,3454,7387,32.0,3.0,35.0
