,定期（人）,定期外（人）,総数（人）,定期（円）,定期外（円）,総数（円）
1997,35019,34809,69828,2664804,5488854,8153658
1998,33567,34216,67783,2616163,5391776,8007939
1999,32145,34366,66511,2516175,5352733,7868908
2000,31387,34593,65980,2460441,5358531,7818972
2001,32406,35480,67886,2543273,5404778,7948051
2002,31399,34375,65774,2468902,5225979,7694881
2003,31338,33842,65180,2461083,5118433,7579516
2004,31249,32103,63352,2447447,4833710,7281157
2005,37960,34611,72571,3010193,5112600,8122793
2006,40124,35403,75527,3200139,5059118,8259257
2007,40094,36284,76378,3195784,5028939,8224723
2008,36585,36619,73204,2951745,4985396,7937141
2009,31506,40647,72153,2537927,5457573,7995500
2010,28241,42830,71071,2296534,5649392,7945926
2011,25536,46632,72168,2070569,6050654,8121223
2012,23392,48792,72184,1897209,6232295,8129504
2013,23143,50127,73270,1875732,6374838,8250570
2014,22950,51759,74709,1900835,6781064,8681899
2015,22635,54981,77616,1879248,7132662,9011910
2016,21969,56873,78842,1824426,7421343,9245769
