,定期（人）,定期外（人）,総数（人）,定期（円）,定期外（円）,総数（円）
1997,1411142,1211349,2622491,183214992,258536360,441751352
1998,1354000,1198878,2552878,183685226,260385063,444070289
1999,1291885,1167507,2459392,175508508,252907038,428415546
2000,1249032,1153734,2402766,170022653,249807219,419829872
2001,1210286,1152179,2362465,164672142,250063518,414735660
2002,1179741,1129359,2309100,160577685,244802755,405380440
2003,1157372,1123617,2280989,157710189,243300187,401010376
2004,1145423,1115751,2261174,156287515,240828523,397116038
2005,1144104,1133187,2277291,155869626,245295151,401164777
2006,1105120,1182490,2287610,150430251,256225400,406655651
2007,1094620,1210463,2305083,149093868,263820668,412914536
2008,1001481,1280773,2282254,136388830,276692661,413081491
2009,879588,1368075,2247663,119466391,290133307,409599698
2010,800832,1421354,2222186,108815410,298040999,406856409
2011,753271,1455928,2209199,101499823,301386059,402885882
2012,742464,1492684,2235148,99628757,306790434,406419191
2013,749723,1527765,2277488,100631331,313589675,414221006
2014,761550,1540603,2302153,102242154,318171799,420413953
2015,759312,1591824,2351136,101995810,323143876,425139686
2016,755813,1622416,2378229,101354454,331288590,432643044
